1|La Rural Turistas
2|Operativo Voto Seguro
3|Post Detectar Almagro
4|UNIDADES DE TESTEO MOVILES
5|Cgpc N° 7
6|Centro De Testeo Parque Chacabuco
7|Penna
8|Muñiz
9|Unidades De Testeo Moviles
10|Piñero
11|Post Detectar Nueva Pompeya
12|Elizalde
13|Comuna 10
14|Post Detectar La Boca
15|Gutierrez
16|Santojanni
17|Post Detectar Floresta
18|Post Detectar Barrio 20
19|Post Detectar Lugano
20|Tornu
21|DISPOSITIVO LA RURAL TURISTAS
22|Pasteur
23|Durand
24|POST DETECTAR LUGANO
25|Post Detectar Balvanera
26|Ferrer
27|Usina Del Arte
28|Ramos_mejia
29|Argerich
30|Posta Detectar Piedra Buena
31|Rivadavia
32|DISPOSITIVO COSTA SALGUERO TURISTAS
33|Post Detectar San Telmo
34|Grierson
35|POST DETECTAR FLORESTA
36|Post Detectar Recoleta
37|Post Detectar
38|Post Detectar Caballito
39|Post Detectar Belgrano
40|Post Detectar Barrio 31
41|Fernandez
42|Pirovano
43|Post Detectar Paternal
44|Velez
45|Centro De Testeo Villa Crespo
46|OPERATIVO VOTO SEGURO
47|Post Detectar Barrio Rodrigo Bueno
48|La Rural
49|Ministerio De Salud
50|POST DETECTAR SAN TELMO
51|Alvarez
52|De Testeo Movil
53|Post Detectar Palermo
54|POST DETECTAR SAAVEDRA
55|Post Detectar Saavedra
56|Comuna 9
57|CENTRO DE TESTEO VILLA CRESPO
58|Post Detectar Mataderos
59|Costa Salguero Turistas
60|Ap Hoteles
61|Post Detectar San Cristobal
62|POST DETECTAR LA BOCA
63|Centros De Testeo Parque Los Andes
64|Centro De Testeo Villa Devoto
65|Zubizarreta
66|Dellepiane Turistas
67|Pesquisa Covid Turistas
68|Post Detectar Barrio 21-24
69|Post Detectar Barracas
70|POST DETECTAR BARRACAS
71|Post Detectar Barrio Carrillo
72|Post Detectar Parque Chacabuco
73|POST DETECTAR MATADEROS
74|LA RURAL
75|Cec Turistas
76|CENTRO DE TESTEO PARQUE CHACABUCO
77|USINA DEL ARTE
78|Post Detectar Nagera
79|POST DETECTAR PATERNAL
80|POST DETECTAR NAGERA
81|DISPOSITIVOS POST DETECTAR
82|POST DETECTAR PALERMO
83|POST DETECTAR BELGRANO
